"PCs" "AFR4-EUR1" "GST1-GST2"
"PC1-PC2" 0.0633703083154879 0.0659229070354152
"PC1-PC3" 0.0719237116672937 0.0792357953957679
"PC1-PC4" 0.072670013375532 0.0809786105832892
"PC1-PC5" 0.0726799866538238 0.0809801051863975
"PC1-PC6" 0.0727545031183637 0.0810719532267479
"PC1-PC7" 0.0841475853723682 0.100480203025273
"PC1-PC8" 0.0841746403615721 0.100481140300058
"PC1-PC9" 0.0846292365556963 0.100512235852159
"PC1-PC10" 0.0846926972294542 0.1005155806629
"PC1-PC11" 0.0852118690559009 0.100539653649692
"PC1-PC12" 0.139690152580631 0.103055467492026
"PC1-PC13" 0.139752200784102 0.103057479670328
"PC1-PC14" 0.162943046123485 0.104971074206183
"PC1-PC15" 0.194151015026963 0.106640945344647
"PC1-PC16" 0.19415547505028 0.106769115965245
"PC1-PC17" 0.194187744443361 0.106769187971062
"PC1-PC18" 0.19422041070907 0.106770493508272
"PC1-PC19" 0.194223934766032 0.106770495025545
"PC1-PC20" 0.194232936794973 0.106772802772991
"PC1-PC21" 0.194284965326708 0.106784433266277
"PC1-PC22" 0.194284969444371 0.106786887603301
"PC1-PC23" 0.19429212947518 0.106786892397897
"PC1-PC24" 0.194292669290429 0.106792455201667
"PC1-PC25" 0.194299880638152 0.106792905138871
"PC1-PC26" 0.194391268363576 0.106807905550104
"PC1-PC27" 0.194428094348528 0.106816210904525
"PC1-PC28" 0.194435862216825 0.106825280603423
"PC1-PC29" 0.194437808607277 0.106825348003178
"PC1-PC30" 0.194467358484657 0.10683044936721
"PC1-PC31" 0.194468781690018 0.106830450284551
"PC1-PC32" 0.194502695292379 0.106833268619845
"PC1-PC33" 0.194531645785461 0.106839896031398
"PC1-PC34" 0.19454408552305 0.106841660320308
"PC1-PC35" 0.194555921338827 0.106843035074824
"PC1-PC36" 0.194569944811628 0.106843278347306
"PC1-PC37" 0.194681919622753 0.106849972129149
"PC1-PC38" 0.19468204619841 0.10685147121121
"PC1-PC39" 0.194690874023412 0.106856020401286
"PC1-PC40" 0.194693694638527 0.106856077019513
"PC1-PC41" 0.194694739980309 0.106856179512464
"PC1-PC42" 0.194724007641585 0.106856806315742
"PC1-PC43" 0.194724168125069 0.106861011412021
"PC1-PC44" 0.194730790806179 0.106861821133649
"PC1-PC45" 0.194743974602553 0.106864997974079
"PC1-PC46" 0.194760879028618 0.106866444349945
"PC1-PC47" 0.194766717033481 0.106866635260964
"PC1-PC48" 0.19477077970784 0.106866874231447
"PC1-PC49" 0.194772254677097 0.106868695996536
"PC1-PC50" 0.194772412563997 0.106871826540019
"PC1-PC51" 0.194772831555122 0.106872087113521
"PC1-PC52" 0.194777537791194 0.106872865910857
"PC1-PC53" 0.194838961432256 0.106885295377802
"PC1-PC54" 0.194842693801949 0.106885509607243
"PC1-PC55" 0.194844016721068 0.106888609121833
"PC1-PC56" 0.194844109359252 0.106889806791855
"PC1-PC57" 0.194847271092002 0.10689013776771
"PC1-PC58" 0.194850187087413 0.106890970787995
"PC1-PC59" 0.194862114696521 0.106897773933792
"PC1-PC60" 0.194862756174698 0.106898878703193
"PC1-PC61" 0.194865062153276 0.106904213630708
"PC1-PC62" 0.194871370580699 0.106907576887702
"PC1-PC63" 0.194895457022477 0.106907820013318
"PC1-PC64" 0.1949065559903 0.106908093912482
"PC1-PC65" 0.194906618420207 0.106909477970852
"PC1-PC66" 0.194907643072302 0.106909479168126
"PC1-PC67" 0.19498750146612 0.106925832407328
"PC1-PC68" 0.194989293613778 0.106931367614933
"PC1-PC69" 0.194994940652315 0.106931456662668
"PC1-PC70" 0.194995020080001 0.106931513240952
"PC1-PC71" 0.194996628483674 0.106932060150359
"PC1-PC72" 0.19502807265622 0.106935780504002
"PC1-PC73" 0.195028624617003 0.106935796233067
"PC1-PC74" 0.195071464248362 0.106948835505582
"PC1-PC75" 0.195076942789249 0.106950208882451
"PC1-PC76" 0.195079567746087 0.106950363739447
"PC1-PC77" 0.195090444030455 0.106960355964254
"PC1-PC78" 0.195095198290476 0.106960385881877
"PC1-PC79" 0.195113467746335 0.106972442170869
"PC1-PC80" 0.19512922819506 0.106973735374624
"PC1-PC81" 0.195134932187961 0.106973870454425
"PC1-PC82" 0.195146210221977 0.106976982645801
"PC1-PC83" 0.195195762679419 0.106979884838226
"PC1-PC84" 0.1951960800631 0.106979907739725
"PC1-PC85" 0.195253817314797 0.106985896659326
"PC1-PC86" 0.19527013020941 0.106986674628198
"PC1-PC87" 0.195270775478565 0.106987370955641
"PC1-PC88" 0.195287320428132 0.10698753966701
"PC1-PC89" 0.195296660544926 0.106989047420752
"PC1-PC90" 0.195303920790137 0.106989419065625
"PC1-PC91" 0.195305912352903 0.10699478948061
"PC1-PC92" 0.195310159346615 0.106995210061012
"PC1-PC93" 0.195314275382011 0.10699670710821
"PC1-PC94" 0.195316124956441 0.106998268285052
"PC1-PC95" 0.195317173510165 0.1069989430602
"PC1-PC96" 0.195318322663287 0.107001325281512
"PC1-PC97" 0.19535587031876 0.107006110834849
"PC1-PC98" 0.195356106851053 0.107007125519752
"PC1-PC99" 0.195357382558223 0.107007283714708
"PC1-PC100" 0.195357550291766 0.107007543958358
